IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2024-02-01,RELIFE,5608090196.571742,30249817.72344898,5577840378.848293,23547212.662768565,21411604.15864088,2135608.5041276864,7.504504881426237e-13,0,15739705.348762244,2755745.916057049,55519.117364019054,12928440.315341176,0,-7807507.314006321,0.0,0.0,0,0.0,-10618772.347427389,0,55519.117364019054,41304728.95810136,0.0,30741475.72803799,5638776153.182416,30194298.60608496,5608581854.576331
2024-03-01,RELIFE,5638776153.182417,30194298.60608496,5608581854.576332,137880786.65912557,125351216.88260178,12529569.77652378,7.504504881420578e-13,0,15849455.52778209,2874540.9463506555,55519.117364019054,12919395.464067416,0,-122031331.13134348,1649700.0,0.0,0,1649700.0,-123311691.19505815,0,55519.117364019054,37302996.05084862,0.0,-85953176.02684551,5552767458.038207,30138779.488720942,5522628678.549486
2023-12-01,RPUL,103846883.33353946,69211721.97844078,34635161.35509867,3795887.4996041846,3467770.9334681174,328116.5661360674,-0.0,0,4984768.491302619,1994879.3255990695,186605.2721074436,2803283.8935961053,0,1188880.991698434,1879641.7421902565,-4241666.666666667,0,6121308.408856924,887038.1361821771,0,-4055061.394559223,-320949.1856216229,-2.3283064365386963e-10,-3488972.4439986693,104412972.2841,73266783.373,31146188.9111
2024-01-01,RPUL,104412972.2841,73266783.373,31146188.9111,3795890.5355246635,3468031.4293419747,327859.10618268896,-0.0,0,2260326.750356705,1995075.9339766402,189440.36751508457,75810.44886498037,0,-1535563.7851679586,1865162.3797973725,-4241666.666666667,0,6106829.046464039,-1854917.7068623104,0,-4052226.2991515826,840264.1053565345,0.0,-5066879.900657358,103398318.68259422,77319009.67215158,26079309.010442644
2024-02-01,RPUL,103398318.68259422,77319009.67215158,26079309.010442644,3768645.928429364,3443553.319419643,325092.6090097212,-0.0,0,3236313.9450256373,1995273.112518506,192627.22932243074,1048413.6031847004,0,-532331.983403727,1853470.1813319465,-4241666.666666666,0,6095136.847998613,-866762.1439127172,0,-4049039.4373442354,-565705.069456374,0.0,-5481506.650713326,101965851.46922514,81368049.10949582,20597802.359729316
2024-03-01,RPUL,101965851.46922514,81368049.10949582,20597802.359729316,3700138.0131048495,3381594.0120015116,318544.00110333774,-0.0,0,4697776.840014452,1995470.8628781429,196154.0009681339,2506151.9761681757,0,997638.8269096026,1840904.971086063,-4241666.666666666,0,6082571.637752729,646918.9341493892,0,-4045512.665698532,79735.44126707158,2.3283064365386963e-10,-3318858.2902820706,102692505.8446416,85413561.77519435,17278944.069447245
2023-12-01,SPUL,14515743317.91924,13280198444.408083,1235544873.511158,4698475179.727372,3494495203.539211,-34156667.67686972,1238136643.865031,0,-7895556512.559542,2993096480.7749915,3836061880.307908,-14724714873.64244,0,-12594031692.286915,16840410821.961523,-6935710508.342944,0,23776121330.304466,-2582779231.408289,0,-3099648628.035036,-94435071.79164685,17552087117.723747,11775224186.488775,29390616132.443054,16379847072.44312,13010769059.999933
2024-01-01,SPUL,29390616132.44305,16379847072.44312,13010769059.999931,7466382405.036311,6494081759.465705,331038431.7853225,641262213.7852837,0,8706940484.679426,3010161907.938881,3183697441.6124797,2513081135.1280656,0,1240558079.643115,4489671304.831097,-2717360916.893402,0,7207032221.724499,-463629965.07714844,0,466336524.7190776,565468736.4759159,9269238125.202795,9837413421.32064,38761693029.04462,15913510547.724041,22848182481.32057
2024-02-01,SPUL,38761693029.04462,15913510547.724041,22848182481.32057,6216620365.672493,5490127983.892746,228434547.45106825,498057834.32867897,0,8704825257.572712,2868557705.291801,3205782509.382064,2630485042.898848,0,2488204891.900219,7218969335.356293,-2696426179.4673233,0,9915395514.823616,3632834012.582648,0,509356329.91474056,-270522392.86495936,-18437277467.299706,-14565609517.667276,23686727181.4626,15404154217.809301,8282572963.653297
2024-03-01,SPUL,23686727181.462597,15404154217.8093,8282572963.653298,6435908092.027163,5652830906.162914,255576332.7289232,527500853.13532495,0,8467276779.240971,2758390942.3908157,3097067578.8736825,2611818257.9764724,0,2031368687.213808,6246513867.421984,-3681888863.1767097,0,9928402730.598694,2422424033.3712935,0,-584821284.3030272,-67620970.71611148,-748942390.9218311,1021039387.4303238,25292587853.19595,15988975502.112328,9303612351.083622
2024-01-01,SPUL_NEW,0.0,0.0,0.0,6254701.966228257,4891755.25502354,313901.8163258176,1049044.8948789,0,4048366.675098697,2295629.583333333,1752737.0917653642,0.0,0,-2206335.2911295597,0.0,-18765659.899431705,0,18765659.899431705,-6254701.966228257,0,-17012922.807666343,1411046.8086486736,0.0,-21856577.96524593,-4843655.157579586,17012922.807666343,-21856577.96524593
2024-02-01,SPUL_NEW,-4843655.157579586,17012922.807666346,-21856577.965245932,36775594.80147741,28701136.089255903,1712455.5256351086,6362003.186586397,0,27145425.499571487,15568844.666666666,11576580.83290482,0.0,0,-9630169.301905923,11095998.0,-95245200.3344429,0,106341198.3344429,-25679596.80147741,0,-83668619.50153808,672578.9702206894,0.0,-108675637.33279482,-29850672.98883632,100681542.30920443,-130532215.29804075
2024-03-01,SPUL_NEW,-29850672.98883632,100681542.30920443,-130532215.29804075,99355386.7514885,75906965.33077043,4462899.280991114,18985522.139726974,0,73138339.68363264,41860367.16277333,31277972.520859305,0.0,0,-26217047.067855865,14079693.600000001,-137277674.77899644,0,151357368.37899643,-85275693.15148851,0,-105999702.25813714,-5654746.054071359,0.0,-196930141.46369702,-120781112.1943962,206681244.56734157,-327462356.76173776
2023-12-01,STAR PROTECTION SECURE PLAN,253317804.13493794,151700000.0,101617804.13493794,4762567.485199255,3842742.820741278,215274.28207412778,704550.3823838489,0,3098333.333333333,1408333.3333333333,1690000.0,0.0,0,-1664234.151865922,80000000.0,-48000000.0,0,128000000.0,75237432.51480074,0,-46310000.0,2334213.672661327,0.0,31261646.18746207,330889450.3224,198010000.0,132879450.3224
2024-01-01,STAR PROTECTION SECURE PLAN,330889450.3224,198010000.0,132879450.3224,5157474.290037785,4136788.1664318778,229678.81664318778,791007.3069627191,0,3373333.333333333,1533333.3333333333,1840000.0,0.0,0,-1784140.9567044517,30000000.0,-18000000.0,0,48000000.0,24842525.709962215,0,-16160000.0,1303618.235001538,0.0,9986143.944963753,357035594.2673638,214170000.0,142865594.26736376
2024-02-01,STAR PROTECTION SECURE PLAN,357035594.2673638,214170000.0,142865594.26736376,5159024.111341613,4136788.1664318773,229678.81664318778,792557.1282665478,0,3373333.333333333,1533333.333333333,1840000.0,0.0,0,-1785690.7780082803,0.0,0.0,0,0.0,-5159024.111341613,0,1840000.0,1462425.9059187397,0.0,-1856598.2054228736,353338996.0619409,212330000.0,141008996.06194088
2024-03-01,STAR PROTECTION SECURE PLAN,353338996.0619409,212330000.0,141008996.0619409,5347609.26811342,4279836.792292105,236983.67922921054,830788.796592105,0,3501666.6666666665,1591666.6666666665,1910000.0,0.0,0,-1845942.6014467538,14000000.0,-8400000.0,0,22400000.0,8652390.73188658,0,-6490000.0,1664595.3722883463,0.0,3826986.104174927,363655982.1661158,218820000.0,144835982.16611582
