IFRS_MONTH,KEY,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir),NAMA_PRODUK
2024-02-01,185_23_2024,29705299.00450078,17850000.0,11855299.00450078,394160.1914389308,294045.34569059976,14404.534569059975,85710.31117927106,0,275000.0,124999.99999999999,150000.0,0.0,0,-119160.19143893081,0.0,0.0,0,0.0,-394160.1914389308,0,150000.0,98660.81968447566,0.0,-145499.37175445515,29409799.632746324,17700000.0,11709799.632746326,STAR PROTECTION SECURE PLAN
2024-03-01,185_23_2024,29409799.632746324,17700000.0,11709799.632746326,525720.2801623357,391353.66815242113,19135.366815242123,115231.24519467249,0,366666.6666666666,166666.66666666663,200000.0,0.0,0,-159053.6134956691,10000000.0,-6000000.0,0,16000000.0,9474279.719837664,0,-5800000.0,131196.75951314578,0.0,3805476.4793508095,39015276.11209714,23500000.0,15515276.112097135,STAR PROTECTION SECURE PLAN
2023-12-01,300_2_2020,3556983.421005147,998631.5404650146,2558351.8805401325,-437187.09993509296,-444219.41243784706,7032.312502754092,-0.0,0,-660567.7779294371,21479.93201567844,56816.569652014645,-738864.2795971301,0,-223380.67799434415,0.0,0.0,0,0.0,-301677.1796620372,0,56816.569652014645,12796.47594288981,0.0,-232064.13406713272,3268102.717286,941814.970813,2326287.746473,AJK
2024-01-01,300_2_2020,3268102.717286,941814.970813,2326287.746473,186563.9316065206,174768.7168833837,11795.214723136904,-0.0,0,-22816.174425856647,21479.93201567844,56816.56965201465,-101112.67609354974,0,-209380.10603237725,0.0,0.0,0,0.0,-287676.60770007037,0,56816.56965201465,11850.907926521386,0.0,-219009.13012153434,2992277.017512451,884998.4011609853,2107278.6163514657,AJK
2024-02-01,300_2_2020,2992277.017512451,884998.4011609853,2107278.6163514657,142472.8162532385,134685.88474403633,7786.931509202166,-0.0,0,-52664.874586522754,21479.93201567844,56816.56965201465,-130961.37625421585,0,-195137.69083976126,0.0,0.0,0,0.0,-273434.19250745437,0,56816.56965201465,11098.4309996805,0.0,-205519.1918557592,2729941.256004677,828181.8315089707,1901759.4244957063,AJK
2024-03-01,300_2_2020,2729941.256004677,828181.8315089707,1901759.4244957063,169830.89991184065,159239.72093717117,10591.178974669498,-0.0,0,-10690.604539233565,20206.56382493741,53327.93119047619,-84225.09955464717,0,-180521.50445107423,0.0,0.0,0,0.0,-254055.99946648782,0,53327.93119047619,9943.571568415817,0.0,-190784.4967075958,2485828.828106605,774853.9003184945,1710974.9277881104,AJK
2023-12-01,300_2_2021,22184919.130336463,4122805.1566341985,18062113.973702263,-1022691.6073620721,-1042467.6101604189,19776.00279834683,-0.0,0,-1926906.0642616577,65127.691898437464,171519.80413419913,-2163553.5602942943,0,-904214.4568995856,0.0,0.0,0,0.0,-1140861.9529322223,0,171519.80413419913,100043.53383576123,0.0,-869298.6149622619,21144100.71124,3951285.3524999996,17192815.358740002,AJK
2024-01-01,300_2_2021,21144100.71124,3951285.3524999996,17192815.358740002,-1587697.8128234278,-1427768.9385545526,-159928.8742688752,-0.0,0,-2428399.1184669463,65127.691898437464,171519.80413419913,-2665046.614499583,0,-840701.3056435185,0.0,0.0,0,0.0,-1077348.801676155,0,171519.80413419913,96050.58211141045,0.0,-809778.4154305455,20162802.491675258,3779765.5483658006,16383036.943309456,AJK
2024-02-01,300_2_2021,20162802.491675258,3779765.5483658,16383036.943309456,508124.7205389808,475664.0463203643,32460.67421861652,-0.0,0,-258594.9510003646,57711.35521441615,151057.30413419913,-467363.6103489799,0,-766719.6715393454,0.0,0.0,0,0.0,-975488.3308879607,0,151057.30413419913,99565.36673497975,0.0,-724865.6600187818,19286879.527522277,3628708.2442316012,15658171.283290675,AJK
2024-03-01,300_2_2021,19286879.527522277,3628708.2442316012,15658171.283290675,486894.62302114605,456363.9576677872,30530.66535335881,-0.0,0,-231153.91493298666,57711.35521441615,151057.30413419913,-439922.57428160193,0,-718048.5379541328,0.0,0.0,0,0.0,-926817.197302748,0,151057.30413419913,85255.73334468435,0.0,-690504.1598238645,18445318.06356421,3477650.9400974023,14967667.12346681,AJK
2023-12-01,300_2_2022,17645826.659990508,5440159.67256092,12205666.987429587,430453.9825947915,402629.43991898495,27824.54267580654,-0.0,0,85213.34094974885,48169.040182934295,124384.01316091954,-87339.71239410498,0,-345240.6416450427,0.0,0.0,0,0.0,-517793.6949888965,0,124384.01316091954,72666.70139839129,0.0,-320742.9804295857,17200699.6664,5315775.6594,11884924.007000001,AJK
2024-01-01,300_2_2022,17200699.6664,5315775.6594,11884924.007000001,426005.2676708857,398585.1536245252,27420.114046360562,-0.0,0,86430.10477266292,48169.040182934295,124384.01316091954,-86122.94857119091,0,-339575.1628982228,0.0,0.0,0,0.0,-512128.2162420766,0,124384.01316091954,70257.97822021163,0.0,-317486.2248609454,16758829.428378135,5191391.6462390805,11567437.782139055,AJK
2024-02-01,300_2_2022,16758829.428378139,5191391.646239081,11567437.782139057,421462.15877843765,394455.05463139055,27007.104147047106,-0.0,0,87647.90702366151,48169.040182934295,124384.01316091954,-84905.14632019232,0,-333814.2517547761,0.0,0.0,0,0.0,-506367.30509862996,0,124384.01316091954,65290.24225789182,0.0,-316693.0496798186,16317752.3655374,5067007.633078162,11250744.732459238,AJK
2024-03-01,300_2_2022,16317752.3655374,5067007.633078162,11250744.732459238,426552.3876624833,399082.5354350684,27469.8522274149,-0.0,0,86094.18933900086,48169.040182934295,124384.01316091954,-86458.86400485296,0,-340458.1983234825,0.0,0.0,0,0.0,-513011.25166733627,0,124384.01316091954,63240.62911252762,0.0,-325386.6093938891,15867981.74298259,4942623.619917242,10925358.123065349,AJK
2023-12-01,300_3_2021,12980892.325599497,9037108.311458334,3943784.0141411624,665097.7389429214,642781.7666715952,22315.97227132618,3.6720970089092756e-12,0,643133.1112485159,87041.50318902283,419622.0439583334,136469.56410115972,0,-21964.6276944055,0.0,0.0,0,0.0,-528628.1748417617,0,419622.0439583334,20668.3233222659,0.0,-88337.80756116242,12472932.47408,8617486.2675,3855446.20658,AJK
2024-01-01,300_3_2021,12472932.47408,8617486.2675,3855446.20658,640112.0781800209,626543.9197210936,23295.355909609356,-9727.197450682048,0,338217.2533691993,81895.24509689884,393590.36062500003,-137268.35235269956,0,-301894.8248108216,0.0,0.0,0,0.0,-777380.4305327204,0,393590.36062500003,19087.28394602459,0.0,-364702.7859616958,11714639.327493304,8223895.906875,3490743.420618304,AJK
2024-02-01,300_3_2021,11714639.327493303,8223895.906874999,3490743.420618304,634026.3703113585,612168.5512489623,21857.819062396225,4.498334246693256e-12,0,596251.1659027243,81895.24509689884,393590.36062500003,120765.56018082544,0,-37775.20440863422,0.0,0.0,0,0.0,-513260.81013053306,0,393590.36062500003,19419.249593972418,0.0,-100251.19991156062,11220797.766956743,7830305.54625,3390492.2207067437,AJK
2024-03-01,300_3_2021,11220797.766956743,7830305.54625,3390492.2207067437,627287.3647353885,606042.182543535,21245.18219185349,4.29855058169421e-12,0,467377.11019548273,81895.24509689884,393590.36062500003,-8108.495526416114,0,-159910.2545399058,0.0,0.0,0,0.0,-635395.8602618047,0,393590.36062500003,17957.356054119427,0.0,-223848.1435826852,10603359.262749057,7436715.185625,3166644.0771240583,AJK
2023-12-01,300_5_2021,29125975.3746673,8107740.0,21018235.3746673,20724001.66733097,19468971.25976667,1321781.3759766677,-66750.96841237071,0,1035825.4845661875,2722894.649326218,6251157.5,-7938226.664760031,0,-19688176.182764784,0.0,0.0,0,0.0,-28662228.332091,0,6251157.5,4236604.7864836985,0.0,-18174466.045607302,4700351.829059999,1856582.5,2843769.32906,AJK
